date,cases,deaths
1/21/2020,1,0
1/22/2020,1,0
1/23/2020,1,0
1/24/2020,2,0
1/25/2020,3,0
1/26/2020,5,0
1/27/2020,5,0
1/28/2020,5,0
1/29/2020,5,0
1/30/2020,6,0
1/31/2020,7,0
2/1/2020,8,0
2/2/2020,11,0
2/3/2020,11,0
2/4/2020,11,0
2/5/2020,12,0
2/6/2020,12,0
2/7/2020,12,0
2/8/2020,12,0
2/9/2020,12,0
2/10/2020,13,0
2/11/2020,13,0
2/12/2020,14,0
2/13/2020,15,0
2/14/2020,15,0
2/15/2020,15,0
2/16/2020,15,0
2/17/2020,25,0
2/18/2020,25,0
2/19/2020,25,0
2/20/2020,27,0
2/21/2020,30,0
2/22/2020,30,0
2/23/2020,30,0
2/24/2020,43,0
2/25/2020,45,0
2/26/2020,60,0
2/27/2020,60,0
2/28/2020,65,0
2/29/2020,70,1
3/1/2020,88,3
3/2/2020,104,6
3/3/2020,125,10
3/4/2020,161,12
3/5/2020,228,12
3/6/2020,311,15
3/7/2020,428,19
3/8/2020,547,22
3/9/2020,748,26
3/10/2020,1018,31
3/11/2020,1263,37
3/12/2020,1668,43
3/13/2020,2224,50
3/14/2020,2898,60
3/15/2020,3600,68
3/16/2020,4507,91
3/17/2020,5906,117
3/18/2020,8350,162
3/19/2020,12393,212
3/20/2020,18012,277
3/21/2020,24528,360
3/22/2020,33073,458
3/23/2020,43505,579
3/24/2020,53938,785
3/25/2020,68572,1054
3/26/2020,85570,1353
3/27/2020,102900,1770
3/28/2020,123966,2300
3/29/2020,142486,2718
3/30/2020,163955,3368
3/31/2020,188461,4304
4/1/2020,215391,5325
4/2/2020,245108,6541
4/3/2020,277426,7932
4/4/2020,312525,9488
4/5/2020,338141,10856
4/6/2020,369057,12382
4/7/2020,399394,14616
4/8/2020,431214,16701
4/9/2020,465913,18821
4/10/2020,499386,21084
4/11/2020,531106,23168
4/12/2020,558249,24849
4/13/2020,584018,26613
4/14/2020,610709,29318
4/15/2020,640742,32070
4/16/2020,672355,34419
4/17/2020,703864,36708
4/18/2020,732262,38659
4/19/2020,757596,40179
4/20/2020,784991,42016
4/21/2020,810505,44688
4/22/2020,839336,47059
4/23/2020,873112,49228
4/24/2020,909853,51360
4/25/2020,944261,53327
4/26/2020,970996,54580
4/27/2020,994193,56022
4/28/2020,1018844,58416
4/29/2020,1045399,60930
4/30/2020,1075756,63140
5/1/2020,1109726,64902
5/2/2020,1139200,66485
5/3/2020,1165340,67816
5/4/2020,1187302,68905
5/5/2020,1211011,71139
5/6/2020,1235517,73847
5/7/2020,1263995,75805
5/8/2020,1291643,77380
5/9/2020,1316511,78834
5/10/2020,1336828,79766
5/11/2020,1354449,80748
5/12/2020,1376749,82400
5/13/2020,1397894,84168
5/14/2020,1424856,85906
5/15/2020,1451093,87499
5/16/2020,1474752,88724
5/17/2020,1493766,89568
5/18/2020,1515593,90414
5/19/2020,1536570,91934
5/20/2020,1559640,93411
5/21/2020,1585373,94722
5/22/2020,1609172,96010
5/23/2020,1631440,97060
5/24/2020,1651471,97680
5/25/2020,1670571,98190
5/26/2020,1689467,98937
5/27/2020,1708211,100422
5/28/2020,1730723,101622
5/29/2020,1755271,102812
5/30/2020,1778668,103775
5/31/2020,1799302,104379
6/1/2020,1821199,105113
6/2/2020,1841990,106195
6/3/2020,1861977,107184
6/4/2020,1883593,108192
6/5/2020,1912302,109304
6/6/2020,1934818,110032
6/7/2020,1953434,110422
6/8/2020,1971641,111144
6/9/2020,1990446,112174
6/10/2020,2013298,113103
6/11/2020,2036500,113980
6/12/2020,2061993,114759
6/13/2020,2087327,115451
6/14/2020,2106457,115768
6/15/2020,2126574,116216
6/16/2020,2151459,116985
6/17/2020,2177114,117746
6/18/2020,2205173,118473
6/19/2020,2236009,119171
6/20/2020,2268034,119717
6/21/2020,2294413,119974
6/22/2020,2324879,120334
6/23/2020,2359939,121167
6/24/2020,2396928,121934
6/25/2020,2438101,124400
6/26/2020,2483629,125033
6/27/2020,2525928,125544
6/28/2020,2565436,125815
6/29/2020,2604932,126162
6/30/2020,2653321,127462
7/1/2020,2703296,128104
7/2/2020,2758855,128827
7/3/2020,2816009,129418
7/4/2020,2866015,129679
7/5/2020,2910782,129941
7/6/2020,2958098,130332
7/7/2020,3012182,131290
7/8/2020,3071637,132238
7/9/2020,3131526,133079
7/10/2020,3199753,133907
7/11/2020,3260474,134582
7/12/2020,3318279,134977
7/13/2020,3379846,135402
7/14/2020,3445448,136356
7/15/2020,3513790,137327
7/16/2020,3589477,138285
7/17/2020,3660400,139186
7/18/2020,3722851,139961
7/19/2020,3785126,140373
7/20/2020,3845014,140904
7/21/2020,3910291,142031
7/22/2020,3980030,143167
7/23/2020,4050036,144283
7/24/2020,4123561,145429
7/25/2020,4190337,146313
7/26/2020,4244554,146753
7/27/2020,4303735,148449
7/28/2020,4366851,149776
7/29/2020,4433633,151172
7/30/2020,4502581,152433
7/31/2020,4571669,153862
8/1/2020,4628497,154917
8/2/2020,4679291,155337
8/3/2020,4726775,155945
8/4/2020,4780324,157301
8/5/2020,4834047,158554
8/6/2020,4891561,159625
8/7/2020,4952718,160981
8/8/2020,5007958,161947
8/9/2020,5056438,162486
8/10/2020,5103611,163023
8/11/2020,5156968,164474
8/12/2020,5211246,165952
8/13/2020,5265307,167165
8/14/2020,5324784,168341
8/15/2020,5375527,169400
8/16/2020,5417664,169914
8/17/2020,5455187,170449
8/18/2020,5498420,171798
8/19/2020,5541433,173093
8/20/2020,5587462,174136
8/21/2020,5636491,175297
8/22/2020,5681517,176247
8/23/2020,5713850,176693
8/24/2020,5754254,177197
8/25/2020,5793437,178410
8/26/2020,5838756,179603
8/27/2020,5884368,180729
8/28/2020,5930932,181739
8/29/2020,5975541,182610
8/30/2020,6008970,182984
8/31/2020,6045457,183472
9/1/2020,6089506,184563
9/2/2020,6121950,185639
9/3/2020,6168347,186717
9/4/2020,6220448,187697
9/5/2020,6262701,188409
9/6/2020,6292699,188820
9/7/2020,6317865,189083
9/8/2020,6346807,189541
9/9/2020,6380139,190716
9/10/2020,6418200,191631
9/11/2020,6465767,192858
9/12/2020,6504871,193559
9/13/2020,6538214,193958
9/14/2020,6575101,194408
9/15/2020,6614318,195689
9/16/2020,6653586,196686
9/17/2020,6698896,197535
9/18/2020,6747783,198484
9/19/2020,6789594,199154
9/20/2020,6825950,199367
9/21/2020,6880902,199797
9/22/2020,6918293,200738
9/23/2020,6959842,201828
9/24/2020,7005046,202713
9/25/2020,7059627,203566
9/26/2020,7102322,204335
9/27/2020,7139620,204602
9/28/2020,7176980,204952
9/29/2020,7220677,205878
9/30/2020,7262735,206852
10/1/2020,7309153,207699
10/2/2020,7362733,208564
10/3/2020,7410512,209273
10/4/2020,7445575,209606
10/5/2020,7507988,210035
10/6/2020,7550850,210756
10/7/2020,7603867,211752
10/8/2020,7660249,212680
10/9/2020,7719211,213595
10/10/2020,7770859,214187
10/11/2020,7815642,214606
10/12/2020,7863658,214957
10/13/2020,7918051,215783
10/14/2020,7977904,216792
10/15/2020,8043257,217585
10/16/2020,8113721,218476
10/17/2020,8166482,219154
10/18/2020,8214364,219541
10/19/2020,8279804,220058
10/20/2020,8340398,220987
10/21/2020,8404635,222195
10/22/2020,8479765,223023
10/23/2020,8565062,223953
10/24/2020,8643641,224825
10/25/2020,8703356,225164
10/26/2020,8777994,225701
10/27/2020,8852381,226684
10/28/2020,8934263,227702
10/29/2020,9024932,228706
10/30/2020,9124800,229674
10/31/2020,9209007,230512
11/1/2020,9283202,230940
11/2/2020,9377208,231480
11/3/2020,9469624,232610
11/4/2020,9577702,234226
11/5/2020,9699051,235334
11/6/2020,9831874,236582
11/7/2020,9957805,237589
11/8/2020,10061218,238053
11/9/2020,10191667,238798
11/10/2020,10331417,240262
11/11/2020,10474295,241693
11/12/2020,10637946,242865
11/13/2020,10819442,244255
11/14/2020,10978475,245465
11/15/2020,11113661,246088
11/16/2020,11280224,246884
11/17/2020,11441855,248491
11/18/2020,11614135,250415
11/19/2020,11801643,252376
11/20/2020,12000502,254333
11/21/2020,12172435,255758
11/22/2020,12313229,256601
11/23/2020,12492852,257639
11/24/2020,12670710,259848
11/25/2020,12851300,262161
11/26/2020,12954294,263339
11/27/2020,13160133,264751
11/28/2020,13311541,265943
11/29/2020,13447663,266761
11/30/2020,13615321,268031
12/1/2020,13799549,270639
12/2/2020,14000721,273525
12/3/2020,14218459,276381
12/4/2020,14449827,279018
12/5/2020,14655535,281208
12/6/2020,14827456,282319
12/7/2020,15031979,283853
12/8/2020,15251693,286674
12/9/2020,15471409,289830
12/10/2020,15696634,292771
12/11/2020,15977147,295726
12/12/2020,16184679,297981
12/13/2020,16368898,299338
12/14/2020,16569783,301016
12/15/2020,16772936,304041
12/16/2020,17017763,307652
12/17/2020,17255472,310950
12/18/2020,17506662,313820
12/19/2020,17700567,316381
12/20/2020,17880478,317810
12/21/2020,18081996,319773
12/22/2020,18283633,323012
12/23/2020,18511396,326424
12/24/2020,18704907,329248
12/25/2020,18805838,330377
12/26/2020,19022699,332023
12/27/2020,19174788,333253
12/28/2020,19363798,335152
12/29/2020,19564828,338780
12/30/2020,19793777,342588
12/31/2020,20024801,346050
1/1/2021,20172049,347970
1/2/2021,20463659,350343
1/3/2021,20665439,351694
1/4/2021,20917269,353743
1/5/2021,21152285,357432
1/6/2021,21408251,361396
1/7/2021,21688585,365509
1/8/2021,21989362,369404
1/9/2021,22241281,372663
1/10/2021,22449576,374440
1/11/2021,22675892,376488
1/12/2021,22905869,380894
1/13/2021,23135194,384824
1/14/2021,23374716,388804
1/15/2021,23614569,392553
1/16/2021,23816762,395894
1/17/2021,23986856,397624
1/18/2021,24127989,399065
1/19/2021,24314933,401836
1/20/2021,24500421,406216
1/21/2021,24690903,410351
1/22/2021,24882468,414082
1/23/2021,25050385,417404
1/24/2021,25180061,419219
1/25/2021,25336637,421126
1/26/2021,25487275,425224
1/27/2021,25643045,429326
1/28/2021,25809220,433194
1/29/2021,25973835,436794
1/30/2021,26107635,439435
1/31/2021,26221430,441299
2/1/2021,26363284,443249
2/2/2021,26478540,446860
2/3/2021,26598723,450703
2/4/2021,26724359,455820
2/5/2021,26853860,459390
2/6/2021,26958807,462052
2/7/2021,27046088,463353
2/8/2021,27139070,464936
2/9/2021,27235460,468106
2/10/2021,27330435,471360
2/11/2021,27436075,475238
2/12/2021,27535702,480701
2/13/2021,27620354,484073
2/14/2021,27684134,485154
2/15/2021,27739406,486148
2/16/2021,27803946,487855
2/17/2021,27874107,490326
2/18/2021,27945898,492951
2/19/2021,28023910,495572
2/20/2021,28093630,497403
2/21/2021,28148810,498650
2/22/2021,28208276,500104
2/23/2021,28280189,502432
2/24/2021,28354383,505642
2/25/2021,28432264,508107
2/26/2021,28510582,510283
2/27/2021,28573256,511850
2/28/2021,28624161,512979
3/1/2021,28680857,514404
3/2/2021,28738501,515710
3/3/2021,28805113,518079
3/4/2021,28872395,520028
3/5/2021,28938090,522511
3/6/2021,28994675,523970
3/7/2021,29034739,524646
3/8/2021,29129252,525466
3/9/2021,29185151,527351
3/10/2021,29243346,528825
3/11/2021,29305733,530349
3/12/2021,29369899,532054
3/13/2021,29419456,533928
3/14/2021,29457445,534497
3/15/2021,29514609,535246
3/16/2021,29569140,536491
3/17/2021,29628071,537668
3/18/2021,29688541,539226
3/19/2021,29749164,540740
3/20/2021,29803589,541512
3/21/2021,29837782,541960
3/22/2021,29892498,542608
3/23/2021,29949244,543501
3/24/2021,30029147,545091
3/25/2021,30098263,546361
3/26/2021,30172762,547621
3/27/2021,30233462,548401
3/28/2021,30277977,548891
3/29/2021,30348716,549576
3/30/2021,30410950,550523
3/31/2021,30478886,551658
4/1/2021,30556079,552615
4/2/2021,30624668,553571
4/3/2021,30688804,554324
4/4/2021,30725627,554596
4/5/2021,30802221,555126
4/6/2021,30864193,556035
4/7/2021,30937283,558606
4/8/2021,31017741,559608
4/9/2021,31099323,560554
4/10/2021,31164081,561258
4/11/2021,31212058,561559
4/12/2021,31283990,562024
4/13/2021,31361311,563007
4/14/2021,31437061,563942
4/15/2021,31510755,564859
4/16/2021,31589109,565794
4/17/2021,31642983,566471
4/18/2021,31684382,566829
4/19/2021,31754642,567314
4/20/2021,31815666,568146
4/21/2021,31878161,568986
