date,cases,deaths
4/22/2021,31944402,569897
4/23/2021,32008186,570770
4/24/2021,32058654,571495
4/25/2021,32092245,571777
4/26/2021,32139580,572256
4/27/2021,32191457,572969
4/28/2021,32246275,573903
4/29/2021,32303857,574777
4/30/2021,32362374,575637
5/1/2021,32407133,576352
5/2/2021,32436765,576664
5/3/2021,32486709,577123
5/4/2021,32527664,578030
5/5/2021,32572383,578806
5/6/2021,32620077,579638
5/7/2021,32667570,580450
5/8/2021,32701236,581054
5/9/2021,32723564,581300
5/10/2021,32760121,581670
5/11/2021,32794162,582363
5/12/2021,32829645,583211
5/13/2021,32868084,583991
5/14/2021,32909065,584723
5/15/2021,32938115,585282
5/16/2021,32954825,585574
5/17/2021,32984032,585958
5/18/2021,33011895,586825
5/19/2021,33040689,587500
5/20/2021,33070307,588154
5/21/2021,33099318,588850
5/22/2021,33117634,589329
5/23/2021,33131784,589518
5/24/2021,33157412,589935
5/25/2021,33180250,590635
5/26/2021,33203636,591601
5/27/2021,33231383,592942
5/28/2021,33253407,593701
5/29/2021,33264967,594040
5/30/2021,33272409,594171
5/31/2021,33277912,594321
6/1/2021,33300482,594827
6/2/2021,33317340,595421
6/3/2021,33336811,596037
6/4/2021,33312812,596176
6/5/2021,33323260,596551
6/6/2021,33329413,596803
6/7/2021,33348865,597139
6/8/2021,33363050,597514
6/9/2021,33383714,598086
6/10/2021,33399513,598546
6/11/2021,33416340,599063
6/12/2021,33424619,599233
6/13/2021,33431406,599328
6/14/2021,33446525,599538
6/15/2021,33458397,599990
6/16/2021,33472808,600414
6/17/2021,33484995,600702
6/18/2021,33497695,601171
6/19/2021,33505275,601340
6/20/2021,33509338,601430
6/21/2021,33525182,601718
6/22/2021,33537943,602150
6/23/2021,33551974,602548
6/24/2021,33566669,602903
6/25/2021,33581632,603361
6/26/2021,33588423,603487
6/27/2021,33592510,603583
6/28/2021,33608058,603744
6/29/2021,33623787,604123
6/30/2021,33639764,604446
7/1/2021,33704723,604693
7/2/2021,33725159,604959
7/3/2021,33729152,605045
7/4/2021,33732074,605082
7/5/2021,33736665,605123
7/6/2021,33763742,605440
7/7/2021,33793961,605762
7/8/2021,33843194,606128
7/9/2021,33878529,606535
7/10/2021,33886287,606623
7/11/2021,33891830,606653
7/12/2021,33927213,606926
7/13/2021,33970195,607358
7/14/2021,34008250,607751
7/15/2021,34044268,608089
7/16/2021,34096492,608446
7/17/2021,34108937,608529
7/18/2021,34117964,608566
7/19/2021,34177146,608797
7/20/2021,34239257,609097
7/21/2021,34299048,609494
7/22/2021,34364548,609856
7/23/2021,34447610,610299
7/24/2021,34469200,610400
7/25/2021,34483033,610449
7/26/2021,34576119,610722
7/27/2021,34682937,611206
7/28/2021,34767898,611701
7/29/2021,34866192,612104
7/30/2021,34988866,612775
7/31/2021,35018564,612919
8/1/2021,35041458,612982
8/2/2021,35177628,613440
8/3/2021,35327939,614109
8/4/2021,35440283,614834
8/5/2021,35567255,615408
8/6/2021,35735606,616257
8/7/2021,35777721,616463
8/8/2021,35813789,616594
8/9/2021,35992480,617314
8/10/2021,36154571,618363
8/11/2021,36310148,618701
8/12/2021,36448857,619723
8/13/2021,36636249,620809
8/14/2021,36686066,621051
8/15/2021,36729884,621228
8/16/2021,36989377,622244
8/17/2021,37133674,623237
8/18/2021,37298285,624365
8/19/2021,37458037,626099
8/20/2021,37657643,627631
8/21/2021,37737034,628100
8/22/2021,37777607,628285
8/23/2021,38043754,629644
8/24/2021,38193951,631057
8/25/2021,38364887,632522
8/26/2021,38552648,634735
8/27/2021,38748559,636509
8/28/2021,38833818,637076
8/29/2021,38875976,637356
8/30/2021,39156379,639081
8/31/2021,39316629,640519
9/1/2021,39527624,642454
9/2/2021,39703320,645391
9/3/2021,39894795,647370
9/4/2021,39960849,647896
9/5/2021,40005266,648273
9/6/2021,40082242,648788
9/7/2021,40383380,651014
9/8/2021,40567569,653216
9/9/2021,40738140,656448
9/10/2021,40914456,658865
9/11/2021,40988382,659556
9/12/2021,41027940,659854
9/13/2021,41312998,661579
9/14/2021,41465694,664235
9/15/2021,41635889,666816
9/16/2021,41790772,670234
9/17/2021,41957710,672813
9/18/2021,42025890,673637
9/19/2021,42065846,673939
9/20/2021,42274012,676191
9/21/2021,42403987,678556
9/22/2021,42551480,681343
9/23/2021,42679344,684498
9/24/2021,42819355,687247
9/25/2021,42870947,687876
9/26/2021,42905182,688178
9/27/2021,43099971,690559
9/28/2021,43213311,692741
9/29/2021,43341823,695244
9/30/2021,43458032,697988
10/1/2021,43583808,700429
10/2/2021,43628030,701077
10/3/2021,43653869,701326
10/4/2021,43826566,703362
10/5/2021,43925168,705394
10/6/2021,44051123,707924
10/7/2021,44156525,710378
10/8/2021,44269451,712822
10/9/2021,44306785,713325
10/10/2021,44329824,713806
10/11/2021,44453504,714969
10/12/2021,44565080,717501
10/13/2021,44671637,719735
10/14/2021,44760606,721766
10/15/2021,44859166,723931
10/16/2021,44892707,724317
10/17/2021,44914859,724499
10/18/2021,45036892,726389
10/19/2021,45120516,728400
10/20/2021,45207108,731512
10/21/2021,45289095,733385
10/22/2021,45376439,735515
10/23/2021,45406263,735964
10/24/2021,45423365,736112
10/25/2021,45528926,737526
10/26/2021,45616284,739259
10/27/2021,45710843,741277
10/28/2021,45797078,743050
10/29/2021,45885801,745075
